ID_PONTAJ,ID_ANGAJAT,DATA_PONTAJ,ORE_LUCRATE,ACTIVITATE
1000,128,07-Jun-2025,6.1,Unit Testing
1001,141,01-Jun-2025,7.1,Bug Fixing
1002,33,02-Jun-2025,6.5,Client Call
1003,90,06-Jun-2025,4.6,Scrum Planning
1004,227,03-Jun-2025,7.3,Client Call
1005,22,02-Jun-2025,6.7,Bug Fixing
1006,146,06-Jun-2025,4.4,UI Mockups
1007,42,05-Jun-2025,6.2,Code Review
1008,55,03-Jun-2025,7.8,Design Meeting
1009,217,01-Jun-2025,5.5,Unit Testing
1010,117,02-Jun-2025,4.3,Design Meeting
1011,231,02-Jun-2025,6.1,Code Review
1012,119,03-Jun-2025,6.3,Scrum Planning
1013,180,05-Jun-2025,6.7,Client Call
1014,103,03-Jun-2025,7.1,Unit Testing
1015,188,05-Jun-2025,5.1,Unit Testing
1016,146,07-Jun-2025,4.4,Performance Testing
1017,150,02-Jun-2025,4.1,Client Call
1018,199,01-Jun-2025,6.7,Design Meeting
1019,2,01-Jun-2025,5.5,Performance Testing
1020,117,02-Jun-2025,7.2,Documentation
1021,136,01-Jun-2025,7.2,Scrum Planning
1022,155,05-Jun-2025,4.4,Scrum Planning
1023,148,04-Jun-2025,5.9,Unit Testing
1024,68,06-Jun-2025,7.0,Deployment
1025,85,07-Jun-2025,4.6,Client Call
1026,210,04-Jun-2025,7.6,Client Call
1027,186,06-Jun-2025,7.5,Documentation
1028,147,05-Jun-2025,5.8,Unit Testing
1029,146,01-Jun-2025,6.1,Unit Testing
1030,117,04-Jun-2025,5.0,Bug Fixing
1031,194,04-Jun-2025,5.7,UI Mockups
1032,83,04-Jun-2025,7.1,Design Meeting
1033,153,03-Jun-2025,5.2,Scrum Planning
1034,76,07-Jun-2025,5.2,Unit Testing
1035,13,06-Jun-2025,5.5,Code Review
1036,140,03-Jun-2025,6.9,Performance Testing
1037,81,01-Jun-2025,5.0,Unit Testing
1038,194,03-Jun-2025,5.2,Unit Testing
1039,72,01-Jun-2025,4.6,Scrum Planning
1040,164,04-Jun-2025,7.3,Documentation
1041,71,07-Jun-2025,7.3,Code Review
1042,35,02-Jun-2025,7.2,Client Call
1043,51,07-Jun-2025,5.6,Performance Testing
1044,204,05-Jun-2025,6.8,Deployment
1045,70,06-Jun-2025,5.8,Performance Testing
1046,71,03-Jun-2025,7.5,Performance Testing
1047,156,01-Jun-2025,5.2,Design Meeting
1048,126,04-Jun-2025,7.2,Deployment
1049,25,05-Jun-2025,5.1,Deployment
